FIRE_YEAR,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE,STATE,DISCOVERY_DATE,DISCOVERY_TIME,FIRE_SIZE
2006,Miscellaneous,35.21666667,-100.93333333,TX,2453806.5,1100,427696
2006,Lightning,45.53611111,-109.93472222,MT,2453969.5,1630,207115
2006,Lightning,46.14305556,-118.04416667,WA,2453968.5,2240,109259
2006,Debris Burning,34.63222222,-118.76972222,CA,2453982.5,1415,162702
2006,Lightning,48.50333333,-120.04444444,WA,2453940.5,1330,113011
2007,Lightning,45.42916667,-115.63666667,ID,2454294.5,2114,102000
2007,Lightning,44.495,-115.69722222,ID,2454298.5,1812,174231
2007,Equipment Use,34.77916667,-120.09,CA,2454285.5,1054,240207
2007,Lightning,45.13777778,-115.85583333,ID,2454295.5,930,120077
2007,Lightning,30.5,-82.36666667,FL,2454228.5,630,123014
2007,Miscellaneous,33.07444444,-116.71111111,CA,2454394.5,1236,197990
2008,Lightning,36.28111111,-121.65833333,CA,2454638.5,1329,162818
2009,Arson,34.2425,-118.18888889,CA,2455069.5,1519,160371
1992,Lightning,43.48,-115.68833333,ID,2448853.5,1600,177544
1994,Lightning,43.78166667,-115.62833333,ID,2449561.5,600,146400
1994,Lightning,45.115,-116.17833333,ID,2449566.5,1200,115659
1994,Lightning,47.83333333,-120.33333333,WA,2449557.5,2130,140000
1996,Equipment Use,35.42,-120.42277778,CA,2450310.5,1417,106668
1999,Lightning,41.1025,-123.375,CA,2451413.5,1640,124898
2000,Lightning,45.15138889,-115.18583333,ID,2451756.5,1630,149772
2000,Lightning,45.96416667,-114.01722222,MT,2451756.5,1840,145040
2000,Lightning,45.22166667,-114.495,ID,2451735.5,929,172135
2002,Campfire,35.87361111,-118.45805556,CA,2452476.5,1452,150696
2002,Lightning,42.03888889,-123.91166667,OR,2452468.5,1608,499945
2002,Miscellaneous,39.0575,-105.40833333,CO,2452433.5,1631,137760
2003,Campfire,32.98555556,-116.7275,CA,2452937.5,1745,280059
2004,Lightning,34.08111111,-111.60472222,AZ,2453180.5,1623,119500
1999,Arson,26.2337,-80.7665,FL,2451287.5,1000,158000
1996,Equipment Use,44.9832,-121.3512,OR,2450305.5,1605,118230
1993,Lightning,65.8997,-143.6358,AK,2449182.5,1748,215360
1997,Lightning,63.566,-157.2024,AK,2450606.5,1954,365871
1997,Lightning,63.6327,-158.4191,AK,2450609.5,1457,308120
1997,Lightning,61.9827,-157.0857,AK,2450624.5,1841,606945
1997,Lightning,62.2993,-157.2024,AK,2450625.5,2135,101820
1999,Lightning,66.7925,-142.2407,AK,2451349.5,1453,232828
1996,Lightning,43.2171,-113.2342,ID,2450322.5,1830,206202.6
1999,Lightning,43.0774,-113.36,ID,2451393.5,400,132208
1992,Lightning,43.0666,-113.9009,ID,2448836.5,2156,149250
1996,Lightning,43.0716,-114.0923,ID,2450267.5,1822,178459
1999,Lightning,39.9083,-117.3437,NV,2451394.5,1510,139754.6
1999,Lightning,40.1616,-116.0009,NV,2451395.5,953,199288
1999,Lightning,40.5857,-118.499,NV,2451394.5,1500,231389
2005,Lightning,62.1167,-159.15,AK,2453584.5,1759,121149
2000,Lightning,43.3025,-108.5921,WY,2451763.5,1230,137069
2002,Arson,34.1084,-110.4859,AZ,2452443.5,1623,259158.9
2002,Arson,34.1362,-110.7029,AZ,2452445.5,841,209704.1
2000,Lightning,64.7231,-151.1924,AK,2451708.5,1653,164387
2000,Lightning,64.9283,-153.4117,AK,2451709.5,1745,141497
2001,Miscellaneous,64.6618,-148.2055,AK,2452080.5,1433,112112
2002,Arson,62.6994,-155.6523,AK,2452416.5,1822,189688
2002,Equipment Use,65.4376,-148.8181,AK,2452417.5,731,115328
2002,Lightning,64.1353,-152.5418,AK,2452430.5,1455,128983.1
2002,Lightning,64.6403,-150.4502,AK,2452433.5,1524,257549
2002,Lightning,62.3993,-158.8857,AK,2452472.5,1430,226833
2002,Lightning,62.8443,-158.351,AK,2452473.5,926,152962
2003,Lightning,65.6671,-148.992,AK,2452807.5,1640,117929.7
